id	author name	title catalog	vols	pub date	pub location
260834	Scott, Walter	Rob Roy / by the author of ""Waverley,"" ""Guy Mannering,"" and ""The antiquary."	3	1818	Edinburgh
260835	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	3	1816	Edinburgh
260836	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	3	1816	Edinburgh
260837	Scott, Walter	The antiquary / by the author of ""Waverley"" and ""Guy Mannering."	3	1816	Edinburgh
260838	Burney, Sarah Harriet	Traits of nature / by Miss Burney, author of Clarentine, Geraldine Fauconberg, &c.	4	1812	London
260842	Brown, Thomas	Brighton, or, The Steyne : a satirical novel in three volumes.	3	1818	London
260843	Roche, Regina Maria	Anna, or, Edinburgh : a novel in two volumes / by Mrs. Roche.	2	1815	London
260844	Brown, Thomas	Bath : a satirical novel, with portraits / by Thomas Brown, the Elder.	3	1818	London
260845	Gunning	The man of fashion : a tale of modern times / by the late Miss Gunning.	2	1815	London
260846	Appleton	Edgar : a national tale / by Miss Appleton.	3	1816	London
260847		Robin Hood : a tale of the olden time : in two volumes.	2	1819	Edinburgh
260848		The ordeal : a novel : in three volumes.	3	1813	London
260850	Bury, Charlotte Campbell	Self-indulgence : a tale of the nineteenth century.	2	1812	Edinburgh
260851	Benson, Maria	The carriage / by Maria Benson.	1	1819	London
260852	Barrett, Eaton Stannard	Six weeks at Long\\\'s / by a late resident.	3	1817	London
260853	Benson, Maria	The wife : a novel : in three volumes / by Maria Benson.	3	1810	London
260855	Colman, George	The history of Elsmere and Rosa : an episode / the merry matter written by John Mathers; the grave by a solid gentleman.	2	1817	London
260857	Brooke, Frances	Manners : a novel.	3	1817	London
260858	Macneill, Hector	The Scottish adventurers, or, the way to rise : an historical tale / by Hector Macneill.	2	1812	Edinburgh
260859		Anne of Brittany : an historical romance.	3	1811	New York
260860	Jacson, Frances	Things by their right names : a novel / by a person without a name.	2	1812	London
260861	Ross	The bachelor and the married man, or The equilibrium of the ""balance of comfort."	3	1817	London
260862		Rosamund, Countess of Clarenstein.	3	1812	London
