pub date	author name	title catalog
1721	"Behn, Aphra,"	Love-letters between a nobleman and his sister : with the history of their adventures. In three parts.
1721	"Haywood, Eliza Fowler,"	"Love in excess, or, The fatal enquiry : a novel / by Mrs. Haywood."
1722	"Aulnoy,"	"A collection of novels and tales of the fairies / written by that celebrated wit of France, the Countess D\'Anois : in three volumes ..."
1722	"Haywood, Eliza Fowler,"	"The British recluse ; or, The secret history of Cleomira, suppos\'d dead : a novel / by Mrs. Eliza Haywood."
1722	"Defoe, Daniel,"	"The fortunes and misfortunes of the famous Moll Flanders, &c. : who was born in Newgate, and during a life of continu\'d variety for threescore years, besides her childhood, was twelve year a whore, five times a wife (whereof once to her own brother) twelve year a thief, eight year a transported felon in Virginia, at last grew rich, liv\'d honest, and died a penitent / written from her own memorandums."
1722		"Female falshood: or, The life and adventures of a late French nobleman. Written by himself after his retirement, and digested by Mons. de St. Evremond ..."
1723	"Thibault,"	"The life and adventures of Pedrillo del Campo. Intermix\'d with several entertaining and delightful novels. Written originally in French, by Mons. Thibault ... From thence tr. into English, by Ralph Brookes, M. D."
1723	"Caumont de La Force, Charlotte Rose de,"	"The secret history of Burgundy: or, The amorous and political intrigues of Charles duke of Burgundy, and Louis XI. of France. The loves and misfortunes of the Princess of Burgundy, and of the Count d\'Angolesme; of the Queen of France, and the Duke of Calabria ... Faithfully collected by a person of quality of the French court, and now first done into English."
1723	"Haywood, Eliza Fowler,"	"Idalia, or, The unfortunate mistress : a novel / written by Mrs. Eliza Haywood."
1724		"Love upon tick, or, Implicit gallantry : exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour : In which the whole mechanism of that passion is expos\'d, and made obvious to the meanest capacity / by the author of -----."
1724	Young lady.	The prude : a novel / by a young lady.
1724	Young lady.	The prude : a novel / by a young lady.
1724	"Haywood, Eliza Fowler,"	
1724		Fables of Aesop and other eminent mythologists : with morals and reflections / by Sir Roger L\'Estrange Kt.
1724	"Haywood, Eliza Fowler,"	"Love in excess: or, The fatal enquiry : A novel. In three parts. / By Mrs. Eliza Haywood ..."
1724		"The new history of Valentine and Orson / abstracted from the French, and the best English originals ; with a new set of figures more expressive of the story, and better adapted to the entertainment of the reader, than any yet extant."
1724	"Gildon, Charles,"	"The new metamorphosis, or, pleasant transformation of the Golden ass of Lucius Apuleius of Medaura ; also the Golden spy, or, Magical wonders perform\'d by gold in the courts of Europe, in love and politicks, by its power on the favourite ladies in all ages : in twenty-five novels : altered and improved to the modern times and manners, exposing the secret follies and vices of maids, wives and widows, nuns, fryars and Jesuits, statesmen, and courtiers, &c. / written in Italian by Carlo Monte Socio, Fellow of the Academy of the Humoristi in Rome, and translated from the Vatican manuscripts ; to which is prefix\'d, the life of Lucius Apuleius. ... ; adorn\'d with new cuts."
1725	"La CalpreneÌ€de, Gaultier de Coste,"	"Cassandra, a romance : in five parts / Written originally in French, and faithfully translated into English, by Sir Charles Cotterell."
1725	"Defoe, Daniel,"	"A new voyage round the world, by a course never sailed before. Being a voyage undertaken by some merchants, who afterwards proposed the setting up an East-India company in Flanders. Illustrated with copper plates. Letter-press Full Work"
1725	"Haywood, Eliza Fowler,"	"Secret histories, novels, and poems / written by  Eliza Haywood."
1725	"Cervantes Saavedra, Miguel de,"	"The history of the valorous and witty knight-errant Don Quixote of the Mancha / written in Spanish by Michael Cervantes ; translated into English by Thomas Shelton, and now printed verbatim from the 4to edition of 1620 ; with a curious set of cuts from the French of Coypel ; in four volumes."
1726	"Barker, Jane."	The lining of the patch-work screen : design\'d for the farther entertainment of the ladies / by Mrs. Jane Barker.
1726	"Wagstaffe, William,"	"Miscellaneous works of Dr. William Wagstaffe ... : to which is prefix\'d his life, and an account of his writings : adorn\'d with several curious cuts engrav\'d on copper ..."
1726	"Swift, Jonathan,"	"Travels into several remote nations of the world : in four parts / by Lemuel Gulliver, first a surgeon, and then a captain of several ships, 1726."
1726		The inhumane husband : a novel / done from the French ; by J.M.
1726	"Haywood, Eliza Fowler,"	"The mercenary lover, or, The unfortunate heiresses : being a true, secret history of a city amour, in a certain island adjacent to the kingdom of Utopia / written by the author of Memoirs of the said island."
1726	"Haywood, Eliza Fowler,"	Memoirs of a certain island adjacent to the kingdom of Utopia / written by a celebrated author of that country ; now translated into English.
1727	"Haywood, Eliza Fowler,"	The secret history of the present intrigues of the court of Caramania.
1727	"Castiglione, Baldassarre,"	"Il cortegiano, or, The courtier / written by Conte Baldassar Castiglione, and a new version of the same into English ; together with several of his celebrated pieces, as well Latin as Italian, both in prose and verse ; to which is prefix\'d the life of the author, by A.P. Castiglione of the same family."
1727	"Mandeville, Bernard,"	"Aesop dress\'d, or A collection of fables writ in familiar verse / by B. Mandeville, M.D."
1727	"Ramsay,"	"The travels of Cyrus : in two volumes : to which is annex\'d, A discourse upon the theology and mythology of the ancients / by the Chevalier Ramsay."
1727	"Ramsay,"	"The travels of Cyrus : in two volumes : to which is annex\'d, A discourse upon the theology and mythology of the ancients / by the Chevalier Ramsay."
1728		"The memoirs of an English officer : who serv\'d in the Dutch war in 1672 to the peace of Utrecht, in 1713 : containing several remarkable transactions both by sea and land, and in divers countries, but chiefly those wherein the author was personally concern\'d : together with a description of many cities, towns, and countries, in which he resided / by Capt. George Carleton."
1728	"Bunyan, John,"	"The pilgrim\'s progress from this world, to that which is to come : delivered under the similtude of a dream : Wherein is discover\'d the manner of his setting out, his dangerous journey, and safe arrival at the desired country : In two parts, complete / by John Bunyan."
1728	"Beauchamps, Pierre-FrancÌ§ois Godart de,"	"The history of King Apprius, &c. : extracted from the chronicle of the world, from its creation / Translated from a Persian manuscript found in the library of Schah-Hussain, sophi of Persia, dethroned by Mamut in 1722 ; By a gentleman who served in the Persian armies."
1728	"Chetwood, W. R."	"The voyages and adventures of Captain Robert Boyle, in several parts of the world : intermix\'d with the story of Mrs. Villars, an English lady with whom he made his surprizing escape from Barbary, the history of an Italian captive, and the life of Don Pedro Aquilio, &c. full of various and amazing turns of fortune : to which is added, The voyage, shipwreck, and miraculous preservation of Richard Castelman, Gent. with a description of the city of Philadelphia, and the country of Pensylvania."
1728	"Rowe, Elizabeth Singer,"	"Friendship in death : in twenty letters from the dead to the living : to which are added, Thoughts on death, translated from the Moral essays of the Messieurs du Port Royal."
1729	"Lussan, Marguerite de,"	"The life of the Countess de Gondez / written by her own hand in French and dedicated to the Princess de la Roche-sur-yon, and now faithfully translated into English by Mrs. P. Aubin."
1729	"Bignon, Jean Paul,"	"The adventures of Abdalla, son of Hanif, sent by the sultan of the Indies, to make a discovery of the island of Borico, where the fountain which restores past youth is supposed to be found. Also an account of the travels of Rouschen, a Persian lady, to the Topsy-Turvy island, undiscover\'d to this day. the whole intermix\'d with several curious and instructive histories. Tr. into French from an Arabick MS. found at Batavia by Mr. de Sandisson [pseud.] and now done into English by William Hatchett ..."
1729	"Quintana, Francisco,"	"The most entertaining history of Hippolyto and Aminta : containing great variety of surprising events in their lives, and those of other remarkable persons, as, I. deep amorous intrigues, II. heroick enterprises, III. strange exploits of valour, IV. cruel instances of revenge, V. base examples of ingratitude, VI. mean knavish practices, VII. dismal misfortunes, VIII. miserable captivities, IX. wonderful deliverances, X. delightful tales : with many other amazing accidents, and an agreeable conclusion of the whole / translated from the original Spanish, written by that celebrated wit, Don Francisco de Quintana, by Capt. Stevens."
1730	Person of quality.	"The Brothers, or, Treachery punish\'d : interspers\'d with : I. The adventures of Don Alvarez ; II. The adventures of Don Lorenzo ; III. Cupid and Bacchus, a dramatic entertainment ; and, IV. The adventures of Mariana, sister to Don Alvarez / written by a person of quality."
1730	"Ramsay,"	"The travels of Cyrus : in two volumes : to which is annex\'d, A discourse upon the theology and mythology of the pagans / by the Chevalier Ramsay."
1730	"Fontenelle,"	"Fontenelle\'s Dialogues of the dead : in three parts : I. Dialogues of the antients : II. The antients with the moderns : III. The moderns / translated from the French by the late John Hughes, Esq ; with a reply to some remarks in a critique, call\'d The judgment of Pluto, &c. ; and two original dialogues."
1730	"Brown, Thomas,"	"The works of Mr. Thomas Brown, serious and comical, in prose and verse : with his remains, in four volumes compleat : With the life and character of Mr. Brown, and his writings / by James Drake, M. D. ; And a key to the whole."
1730	"Gomez,"	"Persian anecdotes, or, Secret memoirs of the court of Persia / written originally in French, for the entertainment of the king, by the celebrated Madame de Gomez ... ; translated by Paul Chamberlen ..."
1730		"The right pleasant, and diverting history of Fortunatus and his two sons : in two parts, I. Containing an account of his noble birth, remarkable travels, and strange adventures in many kingdoms, how he obtained a purse, which supplyed him with a continuance of money, and a wishing hat, by which he could be conveyed in an instant, to any place where he desired to be, as also his death, at which he bequeathed his purse and hat to his two sons, with his sumptuous funeral monument, &c. II. Containing the travels and remarkable actions of his sons, with their untimely deaths and burials / first penn\'d in the Dutch language, thence abstracted, and now published in English, by T.C."
1730	"Heinsius, Nicolaas,"	The life and surprizing adventures of Mirandor. / Translated from the Dutch. Adorned with thirteen cuts. In two volumes.
1730	"Ramsay,"	The travels of Cyrus.
